gene_id	WT_sIM_rep4	WT_sFM_rep3
gene:Solyc00g160440.1	0.0	0.0
gene:Solyc00g160450.1	0.0	0.0
gene:Solyc00g160460.1	0.0	0.0
gene:Solyc00g160470.1	0.0	0.0
gene:Solyc00g160480.1	0.0	0.0
gene:Solyc00g160490.1	0.0	0.0
gene:Solyc00g160500.1	0.0	0.0
gene:Solyc00g160510.1	0.08	0.18
gene:Solyc00g160520.1	0.0	0.0
gene:Solyc00g160530.1	0.0	0.0
gene:Solyc00g160540.1	0.0	0.0
gene:Solyc00g160550.1	0.0	0.0
gene:Solyc00g160560.1	0.0	0.0
gene:Solyc00g160570.1	0.06	0.0
gene:Solyc00g160580.1	0.0	0.0
gene:Solyc00g160590.1	0.0	0.0
gene:Solyc00g160600.1	0.0	0.0
gene:Solyc00g160610.1	0.0	0.0
gene:Solyc00g160620.1	0.0	0.0
gene:Solyc00g160630.1	0.0	0.0
gene:Solyc00g160640.1	0.0	0.0
gene:Solyc00g160650.1	0.0	0.0
gene:Solyc00g160660.1	0.0	0.0
gene:Solyc00g160670.1	0.0	0.0
gene:Solyc00g160680.1	0.0	0.0
gene:Solyc00g160690.1	0.0	0.0
gene:Solyc00g160700.1	0.0	0.0
gene:Solyc00g160710.1	0.0	0.0
gene:Solyc00g160720.1	0.0	0.0
gene:Solyc00g160730.1	0.0	0.0
gene:Solyc00g160740.1	0.0	0.0
gene:Solyc00g160750.1	0.0	0.0
gene:Solyc00g160760.1	0.0	0.0
gene:Solyc00g160770.1	0.0	0.0
gene:Solyc00g160780.1	0.0	0.0
gene:Solyc00g164580.1	0.0	0.0
gene:Solyc00g171710.3	0.0	0.0
gene:Solyc00g171810.4	0.0	0.0
gene:Solyc00g172410.3	0.0	0.0
gene:Solyc00g180440.2	0.47	0.0
gene:Solyc00g181240.1	0.0	0.0
gene:Solyc00g181250.2	0.0	0.0
gene:Solyc00g198360.1	0.0	0.0
gene:Solyc00g210860.1	0.0	0.0
gene:Solyc00g217960.2	1.21	1.57
gene:Solyc00g230070.1	0.0	0.0
gene:Solyc00g230080.1	0.0	0.0
gene:Solyc00g244280.1	0.0	0.0
gene:Solyc00g244290.1	1.63	1.45
gene:Solyc00g244300.1	2.58	0.91
gene:Solyc00g254910.1	0.0	0.0
gene:Solyc00g255510.2	0.0	0.0
gene:Solyc00g266110.1	0.0	0.0
gene:Solyc00g277510.2	0.56	0.09
gene:Solyc00g281110.1	0.0	0.0
gene:Solyc00g284510.1	0.0	0.0
gene:Solyc00g304030.3	0.0	0.0
gene:Solyc00g308530.1	0.0	0.0
gene:Solyc00g309530.1	0.0	0.0
gene:Solyc00g316530.1	1.27	0.0
gene:Solyc00g320430.1	0.0	0.0
gene:Solyc00g322630.1	0.0	0.0
gene:Solyc00g500003.1	0.0	0.0
gene:Solyc00g500004.1	0.0	0.0
gene:Solyc00g500005.1	0.0	0.0
gene:Solyc00g500006.1	0.0	0.0
gene:Solyc00g500007.1	0.0	0.0
gene:Solyc00g500008.1	0.0	0.0
gene:Solyc00g500009.1	0.0	0.0
gene:Solyc00g500010.1	0.0	0.0
gene:Solyc00g500011.1	0.0	0.0
gene:Solyc00g500013.1	0.0	0.0
gene:Solyc00g500014.1	0.0	0.0
gene:Solyc00g500015.1	0.0	0.0
gene:Solyc00g500016.1	0.0	0.0
