gene_id	2-2	1-1	2-3	1-3	1-2	2-1
ENSMUSG00000000531	1.31	1.44	2.92	0.96	0.81	1.95
ENSMUSG00000000532	4.25	8.35	4.12	7.76	9.11	3.89
ENSMUSG00000000538	19.69	41.63	18.14	39.05	44.79	22.44
ENSMUSG00000000544	0.05	0.09	0.09	0.03	0.12	0.03
ENSMUSG00000000552	2.19	6.52	3.6	6.22	5.62	3.1
ENSMUSG00000000555	78.08	120.44	73.5	109.03	117.29	80.25
ENSMUSG00000000560	0.02	0.0	0.01	0.0	0.0	0.0
ENSMUSG00000000561	26.48	23.16	32.61	24.39	21.48	29.35
ENSMUSG00000000562	0.27	0.07	0.05	0.03	0.0	0.07
ENSMUSG00000000563	744.65	559.17	721.32	553.25	557.48	726.15
ENSMUSG00000000567	0.1	0.79	0.36	0.52	0.42	0.11
ENSMUSG00000000568	47.45	36.31	43.07	40.76	44.56	44.07
ENSMUSG00000000579	6.51	5.1	10.18	6.35	5.0	7.39
ENSMUSG00000000581	41.35	34.44	45.86	34.6	38.95	49.83
ENSMUSG00000000594	3.37	11.88	2.81	10.24	12.51	3.5
ENSMUSG00000000600	16.89	22.44	15.87	21.56	23.0	16.15
ENSMUSG00000000605	11.52	26.05	11.69	25.09	26.12	11.69
ENSMUSG00000000606	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000617	0.0	0.0	0.0	0.02	0.0	0.0
ENSMUSG00000000627	0.11	0.08	0.09	0.05	0.57	0.08
ENSMUSG00000000628	65.76	123.62	62.02	115.83	134.22	65.76
ENSMUSG00000000631	51.41	63.62	73.08	70.9	69.5	67.31
ENSMUSG00000000632	0.03	0.0	0.0	0.0	0.0	0.36
ENSMUSG00000000673	1.09	0.89	1.96	1.2	0.0	0.47
ENSMUSG00000000682	0.0	1.22	0.0	1.85	0.46	0.0
ENSMUSG00000000686	1.14	0.51	1.47	0.46	0.55	1.19
ENSMUSG00000000690	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000693	0.62	1.4	0.61	2.54	1.43	1.12
ENSMUSG00000000701	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000706	0.03	0.0	0.02	0.12	0.06	0.04
ENSMUSG00000000708	38.91	51.92	27.32	51.55	48.91	34.58
ENSMUSG00000000711	25.31	38.42	22.88	38.02	39.07	24.96
ENSMUSG00000000724	0.09	0.0	0.09	0.0	0.0	0.0
ENSMUSG00000000730	0.11	0.15	0.06	1.07	0.69	0.12
ENSMUSG00000000731	0.27	0.02	0.72	0.0	0.0	0.41
ENSMUSG00000000732	1.43	0.15	1.25	0.39	0.26	1.39
ENSMUSG00000000738	39.52	44.23	41.42	43.98	45.9	39.18
ENSMUSG00000000739	0.12	0.08	0.0	0.0	0.0	0.26
ENSMUSG00000000740	764.09	934.27	1817.81	658.57	598.05	1005.43
ENSMUSG00000000743	51.27	59.66	57.39	56.1	58.5	60.8
ENSMUSG00000000751	31.82	44.6	30.99	48.67	47.51	33.83
ENSMUSG00000000753	2.11	5.81	4.11	7.16	5.1	1.44
ENSMUSG00000000759	14.97	9.95	14.4	10.56	10.33	14.63
ENSMUSG00000000766	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000776	51.28	13.13	44.09	12.29	10.9	42.49
ENSMUSG00000000782	0.62	0.3	0.8	0.52	0.48	0.69
ENSMUSG00000000787	142.28	159.66	115.46	153.37	165.89	129.5
ENSMUSG00000000791	0.03	0.03	0.02	0.05	0.07	0.14
ENSMUSG00000000792	2.47	0.05	1.98	0.0	0.0	1.95
ENSMUSG00000000794	0.09	0.21	0.03	0.15	0.17	0.1
ENSMUSG00000000804	14.72	19.5	10.65	20.16	20.44	12.32
ENSMUSG00000000805	0.25	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000811	5.36	8.77	6.22	7.58	7.58	6.6
ENSMUSG00000000817	1.12	0.0	0.31	0.04	0.0	0.33
ENSMUSG00000000823	8.44	8.18	10.38	7.11	9.27	8.83
ENSMUSG00000000826	51.77	57.15	38.64	50.32	61.52	56.54
ENSMUSG00000000827	71.37	52.72	71.14	59.28	60.78	80.85
ENSMUSG00000000838	10.64	11.05	10.75	11.78	11.58	10.59
ENSMUSG00000000861	1.04	2.18	0.99	1.46	2.5	1.26
ENSMUSG00000000869	0.14	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000876	3.39	8.62	4.33	6.36	6.73	3.51
ENSMUSG00000000881	2.64	2.47	2.29	2.38	2.52	2.07
ENSMUSG00000000884	4.76	1.9	8.27	1.75	2.19	6.37
ENSMUSG00000000889	0.66	0.59	0.43	0.43	0.16	0.45
ENSMUSG00000000901	5.89	4.19	4.94	4.23	3.39	6.41
ENSMUSG00000000902	25.56	21.38	23.55	21.04	21.72	23.92
ENSMUSG00000000903	1.15	0.0	0.53	0.0	0.0	2.19
ENSMUSG00000000915	7.89	10.57	10.53	8.96	8.95	8.11
ENSMUSG00000000916	16.64	6.07	20.73	6.23	5.71	21.13
ENSMUSG00000000934	6.44	5.29	6.42	5.27	5.09	5.34
ENSMUSG00000000938	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000942	0.0	0.0	0.0	0.05	0.0	0.0
ENSMUSG00000000948	0.36	0.91	0.89	2.81	1.1	0.5
ENSMUSG00000000957	15.01	58.4	16.99	66.65	58.78	15.0
ENSMUSG00000000958	3.9	2.69	3.39	2.13	3.14	4.69
ENSMUSG00000000959	45.74	34.63	49.03	33.17	35.48	49.0
ENSMUSG00000000976	5.29	3.55	4.4	3.41	3.36	4.91
ENSMUSG00000000982	0.0	1.12	0.31	1.57	0.47	0.0
ENSMUSG00000000983	0.0	0.0	0.0	0.24	0.0	0.0
ENSMUSG00000001014	0.63	0.68	0.82	0.6	0.16	0.86
ENSMUSG00000001016	31.37	27.7	30.85	25.78	25.84	32.18
ENSMUSG00000001017	68.11	56.47	80.33	54.2	56.63	76.76
ENSMUSG00000001018	19.1	24.95	17.2	19.0	23.69	17.05
ENSMUSG00000001020	137.27	251.05	149.21	277.87	210.36	157.76
ENSMUSG00000001021	0.94	1.3	0.82	1.02	1.87	0.85
ENSMUSG00000001023	0.27	0.0	0.32	0.0	0.0	0.0
ENSMUSG00000001025	748.85	845.36	725.57	1025.96	818.56	751.71
ENSMUSG00000001027	0.16	0.02	0.03	0.01	0.01	0.11
ENSMUSG00000001029	6.67	7.08	6.12	4.69	5.06	4.69
ENSMUSG00000001034	7.62	6.71	10.81	6.08	5.58	10.13
ENSMUSG00000001036	18.05	20.4	18.19	14.83	16.74	17.73
ENSMUSG00000001039	8.86	5.63	14.24	6.86	9.25	10.25
ENSMUSG00000001052	16.1	16.85	17.17	16.55	18.45	13.85
ENSMUSG00000001053	3.14	1.52	6.63	1.27	1.8	5.27
ENSMUSG00000001054	13.8	13.26	20.34	12.17	11.31	17.12
ENSMUSG00000001056	86.79	52.01	153.67	55.98	50.05	99.15
ENSMUSG00000001062	14.41	9.63	14.69	9.6	12.06	15.3
ENSMUSG00000001065	10.37	4.9	12.92	4.29	3.19	13.16
ENSMUSG00000001076	0.0	0.11	0.0	0.0	0.15	0.03
ENSMUSG00000001082	15.01	9.74	15.96	9.78	10.42	18.86
ENSMUSG00000001089	31.33	18.75	26.1	17.13	20.51	28.96
ENSMUSG00000001095	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000001098	95.39	102.99	105.59	107.58	99.47	111.48
ENSMUSG00000001100	108.7	66.84	107.21	65.82	68.4	102.94
ENSMUSG00000001103	0.0	0.0	0.0	0.0	0.0	0.12
ENSMUSG00000001105	28.43	45.06	48.53	44.44	41.8	37.44
ENSMUSG00000001119	3.19	16.43	3.77	16.38	15.46	3.65
ENSMUSG00000001120	1.98	1.83	1.74	2.52	3.47	2.5
ENSMUSG00000001123	9.61	7.93	9.96	8.39	7.57	8.29
ENSMUSG00000001127	42.63	47.34	57.74	47.85	47.03	55.65
ENSMUSG00000001128	2.44	2.32	2.7	2.18	2.42	1.93
ENSMUSG00000001131	89.86	172.86	84.05	187.2	156.5	96.07
ENSMUSG00000001134	44.05	25.2	34.65	26.32	23.78	34.66
ENSMUSG00000001138	5.45	3.16	4.51	2.89	2.72	5.89
ENSMUSG00000001143	9.73	13.13	9.78	14.18	12.72	10.16
ENSMUSG00000001150	15.96	14.46	10.41	11.78	13.11	11.84
ENSMUSG00000001151	2.74	7.05	2.4	3.5	5.29	3.49
ENSMUSG00000001155	0.13	0.54	0.88	0.65	0.09	0.1
ENSMUSG00000001156	2.11	3.06	2.64	2.53	2.96	2.88
ENSMUSG00000001157	2.63	4.18	3.03	2.98	3.22	2.94
ENSMUSG00000001158	58.98	32.78	57.27	31.5	27.49	58.12
ENSMUSG00000001166	0.51	0.38	0.48	0.76	0.28	0.59
ENSMUSG00000001168	0.03	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000001173	8.11	13.59	6.35	13.02	16.43	6.91
ENSMUSG00000001175	104.19	167.26	184.86	127.66	135.17	96.86
ENSMUSG00000001211	138.07	119.36	160.03	125.86	121.12	151.13
ENSMUSG00000001225	0.53	0.0	0.17	0.0	0.0	0.13
ENSMUSG00000001227	0.14	0.82	0.13	0.64	0.77	0.13
ENSMUSG00000001228	1.82	5.46	1.87	6.14	5.92	2.6
ENSMUSG00000001229	9.28	14.58	9.66	15.8	14.84	9.96
ENSMUSG00000001240	3.26	6.23	2.43	10.43	5.02	2.43
ENSMUSG00000001247	0.65	0.53	0.85	0.73	0.11	0.51
ENSMUSG00000001248	34.27	21.98	49.86	19.88	17.48	46.24
ENSMUSG00000001249	1.86	1.83	2.32	1.32	1.07	2.2
ENSMUSG00000001260	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000001270	33.24	112.42	111.38	115.37	105.54	73.28
ENSMUSG00000001280	11.61	8.8	9.68	7.39	9.85	11.24
