gene_id	2-2	1-1	2-3	1-3	1-2	2-1
ENSMUSG00000000531	1.17	1.18	2.7	0.83	0.66	1.76
ENSMUSG00000000532	3.8	6.81	3.82	6.71	7.36	3.52
ENSMUSG00000000538	17.58	33.94	16.81	33.79	36.17	20.31
ENSMUSG00000000544	0.04	0.07	0.09	0.03	0.1	0.03
ENSMUSG00000000552	1.95	5.32	3.34	5.39	4.54	2.81
ENSMUSG00000000555	69.71	98.2	68.13	94.34	94.71	72.61
ENSMUSG00000000560	0.02	0.0	0.01	0.0	0.0	0.0
ENSMUSG00000000561	23.65	18.89	30.23	21.1	17.35	26.56
ENSMUSG00000000562	0.24	0.05	0.05	0.03	0.0	0.06
ENSMUSG00000000563	664.85	455.91	668.59	478.69	450.16	657.0
ENSMUSG00000000567	0.09	0.65	0.33	0.45	0.34	0.1
ENSMUSG00000000568	42.37	29.6	39.92	35.26	35.98	39.87
ENSMUSG00000000579	5.81	4.16	9.44	5.49	4.04	6.69
ENSMUSG00000000581	36.92	28.08	42.51	29.94	31.45	45.09
ENSMUSG00000000594	3.01	9.68	2.6	8.86	10.1	3.16
ENSMUSG00000000600	15.08	18.3	14.71	18.66	18.57	14.61
ENSMUSG00000000605	10.29	21.24	10.83	21.71	21.09	10.57
ENSMUSG00000000606	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000617	0.0	0.0	0.0	0.02	0.0	0.0
ENSMUSG00000000627	0.1	0.07	0.09	0.04	0.46	0.07
ENSMUSG00000000628	58.71	100.79	57.49	100.22	108.38	59.5
ENSMUSG00000000631	45.9	51.87	67.74	61.34	56.12	60.9
ENSMUSG00000000632	0.03	0.0	0.0	0.0	0.0	0.32
ENSMUSG00000000673	0.98	0.72	1.81	1.04	0.0	0.43
ENSMUSG00000000682	0.0	0.99	0.0	1.6	0.37	0.0
ENSMUSG00000000686	1.02	0.41	1.36	0.4	0.45	1.08
ENSMUSG00000000690	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000693	0.55	1.14	0.56	2.2	1.16	1.01
ENSMUSG00000000701	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000706	0.03	0.0	0.02	0.11	0.05	0.04
ENSMUSG00000000708	34.74	42.33	25.32	44.6	39.49	31.29
ENSMUSG00000000711	22.6	31.33	21.21	32.9	31.55	22.58
ENSMUSG00000000724	0.08	0.0	0.09	0.0	0.0	0.0
ENSMUSG00000000730	0.1	0.12	0.06	0.93	0.56	0.11
ENSMUSG00000000731	0.24	0.02	0.66	0.0	0.0	0.37
ENSMUSG00000000732	1.27	0.12	1.15	0.34	0.21	1.26
ENSMUSG00000000738	35.29	36.06	38.39	38.05	37.06	35.45
ENSMUSG00000000739	0.11	0.07	0.0	0.0	0.0	0.23
ENSMUSG00000000740	682.21	761.73	1684.92	569.82	482.91	909.68
ENSMUSG00000000743	45.78	48.64	53.2	48.54	47.24	55.01
ENSMUSG00000000751	28.41	36.36	28.73	42.11	38.36	30.61
ENSMUSG00000000753	1.88	4.74	3.81	6.19	4.11	1.3
ENSMUSG00000000759	13.36	8.11	13.34	9.14	8.34	13.24
ENSMUSG00000000766	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000776	45.79	10.7	40.86	10.64	8.8	38.44
ENSMUSG00000000782	0.56	0.24	0.74	0.45	0.39	0.62
ENSMUSG00000000787	127.03	130.17	107.02	132.7	133.95	117.17
ENSMUSG00000000791	0.03	0.02	0.02	0.05	0.06	0.13
ENSMUSG00000000792	2.21	0.04	1.83	0.0	0.0	1.77
ENSMUSG00000000794	0.08	0.17	0.03	0.13	0.14	0.09
ENSMUSG00000000804	13.14	15.9	9.88	17.44	16.51	11.15
ENSMUSG00000000805	0.22	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000811	4.79	7.15	5.77	6.56	6.12	5.97
ENSMUSG00000000817	1.0	0.0	0.29	0.03	0.0	0.3
ENSMUSG00000000823	7.54	6.67	9.62	6.15	7.48	7.98
ENSMUSG00000000826	46.22	46.6	35.81	43.54	49.68	51.16
ENSMUSG00000000827	63.73	42.99	65.94	51.29	49.08	73.15
ENSMUSG00000000838	9.5	9.01	9.97	10.19	9.35	9.58
ENSMUSG00000000861	0.93	1.78	0.91	1.27	2.02	1.14
ENSMUSG00000000869	0.12	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000876	3.03	7.03	4.01	5.5	5.44	3.17
ENSMUSG00000000881	2.35	2.01	2.13	2.06	2.04	1.87
ENSMUSG00000000884	4.25	1.55	7.67	1.51	1.77	5.77
